max_permitted_risk_pct,min_balance_best_case,min_balance_median_stop,min_balance_mean_stop,min_balance_p75_stop,min_balance_p90_stop,min_balance_p95_stop,min_balance_worst_case
0.25,1150.800000000163,4433.2000000000335,5160.782608695656,6807.799999999952,9236.31999999998,10232.959999999714,13790.799999999945
0.5,575.4000000000815,2216.6000000000167,2580.391304347828,3403.899999999976,4618.15999999999,5116.479999999857,6895.399999999972
0.75,383.60000000005437,1477.7333333333445,1720.2608695652186,2269.266666666651,3078.7733333333267,3410.986666666571,4596.933333333315
1.0,287.70000000004075,1108.3000000000084,1290.195652173914,1701.949999999988,2309.079999999995,2558.2399999999284,3447.699999999986
1.25,230.1600000000326,886.6400000000067,1032.1565217391312,1361.5599999999904,1847.2639999999958,2046.5919999999426,2758.159999999989
1.5,191.80000000002718,738.8666666666722,860.1304347826093,1134.6333333333255,1539.3866666666634,1705.4933333332856,2298.4666666666576
2.0,143.85000000002037,554.1500000000042,645.097826086957,850.974999999994,1154.5399999999975,1279.1199999999642,1723.849999999993
2.5,115.0800000000163,443.32000000000335,516.0782608695656,680.7799999999952,923.6319999999979,1023.2959999999713,1379.0799999999945
5.0,57.54000000000815,221.66000000000167,258.0391304347828,340.3899999999976,461.81599999999895,511.64799999998564,689.5399999999972
