Balance,RiskBudget,MeanDistortion,MedianDistortion,MaxDistortion,MinDistortion,PctTradesDistorted,MeanActualRiskPct,MaxActualRiskPct,MarginPassPct,Executable
1,0.005,2580.391304347828,2216.6000000000167,6895.399999999972,575.4000000000815,100.0,1290.195652173914,3447.699999999986,0.0,False
2,0.01,1290.195652173914,1108.3000000000084,3447.699999999986,287.70000000004075,100.0,645.097826086957,1723.849999999993,0.0,False
3,0.015,860.1304347826093,738.8666666666722,2298.466666666657,191.80000000002718,100.0,430.06521739130466,1149.2333333333286,0.0,False
4,0.02,645.097826086957,554.1500000000042,1723.849999999993,143.85000000002037,100.0,322.5489130434785,861.9249999999965,0.0,False
5,0.025,516.0782608695656,443.3200000000033,1379.0799999999945,115.0800000000163,100.0,258.0391304347828,689.5399999999972,0.0,False
6,0.03,430.06521739130466,369.4333333333361,1149.2333333333286,95.90000000001359,100.0,215.03260869565233,574.6166666666643,0.0,False
7,0.035,368.6273291925469,316.65714285714523,985.0571428571388,82.20000000001164,100.0,184.31366459627344,492.5285714285694,0.0,False
8,0.04,322.5489130434785,277.0750000000021,861.9249999999965,71.92500000001019,100.0,161.27445652173924,430.9624999999983,0.0,False
9,0.045,286.7101449275364,246.28888888889074,766.1555555555525,63.93333333334239,100.0,143.3550724637682,383.07777777777625,0.0,False
10,0.05,258.0391304347828,221.66000000000165,689.5399999999972,57.54000000000815,100.0,129.0195652173914,344.7699999999986,0.0,False
11,0.055,234.58102766798433,201.5090909090924,626.854545454543,52.30909090909832,100.0,117.29051383399216,313.4272727272715,0.0,False
12,0.06,215.03260869565233,184.71666666666806,574.6166666666643,47.950000000006796,100.0,107.51630434782616,287.30833333333214,0.0,False
13,0.065,198.49163879598674,170.50769230769362,530.4153846153824,44.26153846154473,100.0,99.24581939799337,265.2076923076912,0.0,False
14,0.07,184.31366459627344,158.32857142857262,492.5285714285694,41.10000000000582,100.0,92.15683229813672,246.2642857142847,0.0,False
15,0.075,172.02608695652185,147.77333333333445,459.69333333333145,38.360000000005435,100.0,86.01304347826093,229.84666666666573,0.0,False
16,0.08,161.27445652173924,138.53750000000105,430.9624999999983,35.96250000000509,100.0,80.63722826086962,215.48124999999914,0.0,False
17,0.085,151.78772378516635,130.38823529411863,405.6117647058807,33.847058823534205,100.0,75.89386189258317,202.80588235294036,0.0,False
18,0.09,143.3550724637682,123.14444444444537,383.07777777777625,31.966666666671195,100.0,71.6775362318841,191.53888888888812,0.0,False
19,0.095,135.8100686498857,116.66315789473771,362.91578947368276,30.284210526320077,100.0,67.90503432494285,181.45789473684138,0.0,False
20,0.1,129.0195652173914,110.83000000000082,344.7699999999986,28.770000000004075,100.0,64.5097826086957,172.3849999999993,0.0,False
21,0.105,122.87577639751561,105.55238095238175,328.35238095237963,27.40000000000388,100.0,61.437888198757804,164.17619047618982,0.0,False
22,0.11,117.29051383399216,100.7545454545462,313.4272727272715,26.15454545454916,100.0,58.64525691699608,156.71363636363574,0.0,False
23,0.115,112.19092627599252,96.37391304347899,299.79999999999876,25.01739130435137,100.0,56.09546313799626,149.89999999999938,0.0,False
24,0.12,107.51630434782616,92.35833333333403,287.30833333333214,23.975000000003398,100.0,53.75815217391308,143.65416666666607,0.0,False
25,0.125,103.21565217391311,88.66400000000067,275.8159999999989,23.01600000000326,100.0,51.60782608695656,137.90799999999945,0.0,False
26,0.13,99.24581939799337,85.25384615384681,265.2076923076912,22.130769230772366,100.0,49.622909698996686,132.6038461538456,0.0,False
27,0.135,95.5700483091788,82.09629629629691,255.38518518518418,21.31111111111413,100.0,47.7850241545894,127.69259259259209,0.0,False
28,0.14,92.15683229813672,79.16428571428631,246.2642857142847,20.55000000000291,100.0,46.07841614906836,123.13214285714236,0.0,False
29,0.145,88.97901049475267,76.43448275862127,237.7724137931025,19.841379310347637,100.0,44.489505247376336,118.88620689655124,0.0,False
30,0.15,86.01304347826093,73.88666666666722,229.84666666666573,19.180000000002718,100.0,43.00652173913046,114.92333333333286,0.0,False
31,0.155,83.23842917251058,71.50322580645215,222.43225806451522,18.561290322583275,100.0,41.61921458625529,111.21612903225761,0.0,False
32,0.16,80.63722826086962,69.26875000000052,215.48124999999914,17.981250000002547,100.0,40.31861413043481,107.74062499999957,0.0,False
33,0.165,78.1936758893281,67.16969696969748,208.95151515151431,17.436363636366107,100.0,39.09683794466405,104.47575757575716,0.0,False
34,0.17,75.89386189258317,65.19411764705931,202.80588235294036,16.923529411767102,100.0,37.94693094629159,101.40294117647018,0.0,False
35,0.17500000000000002,73.72546583850936,63.33142857142905,197.01142857142776,16.44000000000233,100.0,36.86273291925468,98.50571428571388,0.0,False
36,0.18,71.6775362318841,61.572222222222685,191.53888888888812,15.983333333335597,100.0,35.83876811594205,95.76944444444406,0.0,False
