Balance,RiskBudget,ExecutabilityPct,AvgActualRiskPct,MaxActualRiskPct,AvgDistortion,MaxDistortion,PctDistortionGt1_5,AvgMarginUtilPct,MaxMarginUtilPct,MaxDDPct,NetReturnPct,ProfitFactor,WinRatePct,Expectancy,TechnicalFloor,ConservativeViable,AggressiveViable
25,0.125,0.0,51.60782608695656,137.90799999999945,103.21565217391311,275.8159999999989,100.0,176.8703804479578,213.23987999999997,19.995378760114633,13866.567142857133,1.6997629910730172,49.143610013175234,4.567380481837004,False,False,False
50,0.25,88.66930171277997,25.80391304347828,68.95399999999972,51.60782608695656,137.90799999999945,100.0,88.4351902239789,106.61993999999999,19.85323051202364,6933.283571428567,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
75,0.375,100.0,17.202608695652184,45.969333333333154,34.40521739130437,91.93866666666631,100.0,58.9567934826526,71.07996,19.713089076827508,4622.189047619045,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
100,0.5,100.0,12.90195652173914,34.47699999999986,25.80391304347828,68.95399999999972,100.0,44.21759511198945,53.30996999999999,19.57491225489528,3466.6417857142833,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
150,0.75,100.0,8.601304347826092,22.984666666666577,17.202608695652184,45.969333333333154,100.0,29.4783967413263,35.53998,19.3042894863892,2311.0945238095223,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
250,1.25,100.0,5.160782608695655,13.790799999999944,10.32156521739131,27.581599999999888,100.0,17.68703804479578,21.323988,18.784888085894018,1386.6567142857134,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
500,2.5,100.0,2.5803913043478275,6.895399999999972,5.160782608695655,13.790799999999944,97.49670619235836,8.84351902239789,10.661994,17.600959141670526,693.3283571428567,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
750,3.75,100.0,1.7202608695652184,4.596933333333315,3.440521739130437,9.19386666666663,91.43610013175231,5.8956793482652605,7.107996,16.557417857152267,462.2189047619044,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
1000,5.0,100.0,1.2901956521739137,3.447699999999986,2.5803913043478275,6.895399999999972,77.2068511198946,4.421759511198945,5.330997,15.630691546229594,346.66417857142835,1.6997629910730172,49.143610013175234,4.567380481837004,True,False,False
1500,7.5,100.0,0.8658262626262634,2.2984666666666573,1.7316525252525268,4.596933333333315,48.616600790513836,3.0182451506368024,5.796881333333333,13.792717191976688,237.45683333333307,1.7173423623382904,49.143610013175234,4.69282279314888,True,False,True
2000,10.0,100.0,0.6600233201581036,1.723849999999993,1.3200466403162072,3.447699999999986,32.14756258234519,2.3731009710144924,6.217678500000001,12.69359343212667,180.65575119047608,1.7159149971486691,49.143610013175234,4.760362350210177,True,False,True
3000,15.0,100.0,0.48570900307422105,1.1492333333333287,0.9714180061484421,2.2984666666666573,11.594202898550725,1.9364701084760652,6.9031216666666655,10.549039910880092,137.64342738095235,1.7441155806349122,49.143610013175234,5.440451675136457,True,True,True
5000,25.0,100.0,0.41175715415019826,0.6895399999999973,0.8235143083003965,1.3790799999999945,0.0,1.8714855075098815,6.628558400000001,8.232401952317087,123.11256714285707,1.7913395253327205,49.143610013175234,8.110182288725767,True,True,True
7500,37.5,100.0,0.41480474308300447,0.4999333333333198,0.8296094861660089,0.9998666666666396,0.0,1.9550159028546332,7.179246533333333,8.611976048114247,123.52745761904768,1.7794295664695001,49.143610013175234,12.20627051571617,True,True,True
10000,50.0,100.0,0.43807641633728656,0.49989000000001393,0.8761528326745731,0.9997800000000279,0.0,2.0313660146245063,7.041184099999997,9.946512315214498,119.87551321428566,1.6998955754294574,49.143610013175234,15.793875258799174,True,True,True
