RiskPct,Scenario,NetProfit,ProfitFactor,MaxDDPct,WinRatePct,Expectancy
0.1,BASE,1115.65,1.7683031975847328,4.621141253507953,49.143610013175234,1.4698945981554679
0.1,SPREAD_STRESS,897.4,1.5753486135598653,6.580694822189144,48.484848484848484,1.1823451910408431
0.1,SLIPPAGE_STRESS,824.6500000000001,1.5166766286607196,7.28892839867701,48.08959156785244,1.0864953886693018
0.1,LATENCY_STRESS,897.3999999999999,1.5753486135598653,6.580694822189144,48.484848484848484,1.1823451910408431
0.1,COMBINED_STRESS,460.9000000000001,1.2590283374415936,11.276719928342333,47.56258234519104,0.6072463768115943
0.25,BASE,2789.125,1.7683031975847328,8.213244661326216,49.143610013175234,3.6747364953886694
0.25,SPREAD_STRESS,2570.875,1.6879626111203287,9.722440370677852,48.88010540184453,3.387187088274045
0.25,SLIPPAGE_STRESS,2498.1250000000005,1.662118035585076,10.25213140843468,48.616600790513836,3.291337285902504
0.25,LATENCY_STRESS,2570.875,1.6879626111203287,9.722440370677852,48.88010540184453,3.387187088274045
0.25,COMBINED_STRESS,2134.375,1.5398355991147643,13.139671332927556,48.22134387351779,2.812088274044796
0.5,BASE,5578.25,1.7683031975847328,11.085594381138373,49.143610013175234,7.349472990777339
0.5,SPREAD_STRESS,5360.0,1.7275560496421267,12.166267942583742,49.143610013175234,7.061923583662714
0.5,SLIPPAGE_STRESS,5287.250000000001,1.7142345745054495,12.53914145223082,49.143610013175234,6.966073781291174
0.5,LATENCY_STRESS,5360.0,1.7275560496421267,12.166267942583742,49.143610013175234,7.061923583662714
0.5,COMBINED_STRESS,4923.5,1.6493703475090875,14.506215687511828,48.616600790513836,6.486824769433465
0.75,BASE,8367.375,1.7683031975847325,12.548411572592627,49.143610013175234,11.024209486166008
0.75,SPREAD_STRESS,8149.125,1.7410067134233005,13.387373448588985,49.143610013175234,10.736660079051383
0.75,SLIPPAGE_STRESS,8076.375,1.7320251574379222,13.67437451332229,49.143610013175234,10.640810276679842
0.75,LATENCY_STRESS,8149.125,1.7410067134233005,13.387373448588985,49.143610013175234,10.736660079051383
0.75,COMBINED_STRESS,7712.625,1.6879626111203283,15.167851016907639,48.88010540184453,10.161561264822135
1.0,BASE,11156.5,1.7683031975847328,13.43481792816024,49.143610013175234,14.698945981554678
1.0,SPREAD_STRESS,10938.250000000002,1.747781079752605,14.119778307893736,49.143610013175234,14.411396574440055
1.0,SLIPPAGE_STRESS,10865.499999999998,1.7410067134233,14.35289026720994,49.143610013175234,14.315546772068508
1.0,LATENCY_STRESS,10938.250000000002,1.747781079752605,14.119778307893736,49.143610013175234,14.411396574440055
1.0,COMBINED_STRESS,10501.75,1.7076217024427744,15.556131612568741,49.143610013175234,13.836297760210803
